Country Code,Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Region,IncomeGroup,SpecialNotes,TableName,X6
ABW,Aruba,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132,2276,0,Latin America & Caribbean,High income,0,Aruba,0
AFG,Afghanistan,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,4000,4700,4800,3700,4300,4700,4500,4900,4800,4900,4200,4200,5400,5700,6200,6400,5800,6000,5900,5200,5300,5300,5300,5100,7000,7300,7500,4600,1900,3400,3409,0,0,0,0,0,0,0,0,0,21677,25021,17775,21696,25920,23532,22770,24207,24433.446,0,South Asia,Low income,0,Afghanistan,0
AGO,Angola,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,4800,5000,11900,12800,15000,13900,22400,10700,13100,11100,11100,11000,6800,6900,7000,6900,5600,7600,7300,7700,7300,7400,5100,4399,4354,4343,4633,4849,4948,4965,5277,3361,3236,17060,12282,13072,14496,13716,13116,15482,13494,13978,0,Sub-Saharan Africa,Lower middle income,0,Angola,0
ALB,Albania,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,1400,1900,1100,2700,3885,3974,3762,3800,4104,4309,4481,4930,5058,5140,9412,10373.21094,10309.17914,11196,1992,0,306,1904,2935,0,Europe & Central Asia,Upper middle income,0,Albania,0
AND,Andorra,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe & Central Asia,High income,0,Andorra,0
ARE,United Arab Emirates,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,5400,6200,6300,7200,8300,9500,10000,8700,9500,10100,10500,12200,12800,15100,16000,18800,19400,26300,30100,34000,34200,38000,39000,41100,44400,48330,50783,54952,71224,87217,0,0,0,0,170588,240855.107,269521,311758,327076,352224,437638,463947,459137,455957,0,Middle East & North Africa,High income,0,United Arab Emirates,0
ARG,Argentina,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,71700,75600,79000,71100,79000,89800,90000,93600,96500,103700,114400,113800,103900,109100,101400,100500,102300,111800,106200,101600,114000,78500,86300,83300,99500,112400,131400,171600,144600,183600,168815,124493,113178,91657,90518,81298,74162,79465,74649,74546,92847.50654,90214.52053,101716.2689,145136.0207,134521,145585,149334,146631,161688,0,Latin America & Caribbean,Upper middle income,0,Argentina,0
ARM,Armenia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,4300,4500,2900,4406,2804,2997,3842,5657,5939,6177,5975,6681,7632,8761,5561,6043,852,0,0,0,0,0,0,Europe & Central Asia,Upper middle income,0,Armenia,0
ASM,American Samoa,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3420.570755,3577.613861,3963.003648,8580,9144,0,0,0,0,0,East Asia & Pacific,Upper middle income,0,American Samoa,0
ATG,Antigua and Barbuda,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21300,35800,40200,45900,55500,65000,65000,61700,58000,58000,67300,68200,70800,74000,77700,77700,69300,70100,68200,62070,72001,63361,67163,25700,26985,26175,27746,28356,26371,39865,36533.604,33606.03922,52572,46404,40047,40928,24019,23206.96627,0,Latin America & Caribbean,High income,0,Antigua and Barbuda,0
AUS,Australia,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,0,0,0,0,0,0,0,0,0,0,283300,288000,283800,256500,18700,18700,29300,246600,259100,259000,257700,230800,222700,230500,214200,238600,266600,283300,294400,230300,255900,283600,324600,347700,405600,396100,371200,394500,378200,384800,382514,388734,536867,529648,324939,342509,352909,353546,393363,403256,572906,593145.0025,622917,641451,664970,668961,682937,672349,665384,0,East Asia & Pacific,High income,Fiscal year end: June 30; reporting period for national accounts data: FY.,Australia,0
